,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,Global_Score
41196,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190703_123000.WAV,GRABADOR-SDZG-AM-25,20190703_123000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:30:00 03/07/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 3.7V.,AudioMoth 24E144035BA455E9,2019:12:08 19:28:01-08:00,WAV,WAV,audio/x-wav,0.9847622514
51416,AM-29,247AA5015BA446E5,GRABADOR-SDZG-AM-29/20190703_113000.WAV,GRABADOR-SDZG-AM-29,20190703_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 03/07/2019 (UTC) by AudioMoth 247AA5015BA446E5 at gain setting 2 while battery state was 4.0V.,AudioMoth 247AA5015BA446E5,2019:12:08 13:56:26-08:00,WAV,WAV,audio/x-wav,0.9918085337
23212,AM-2,248C7D075B2BF148,GRABADOR-SDZG-AM-2/20190625_121000.WAV,GRABADOR-SDZG-AM-2,20190625_121000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:10:00 25/06/2019 (UTC) by AudioMoth 248C7D075B2BF148 at gain setting 2 while battery state was 4.1V.,AudioMoth 248C7D075B2BF148,2019:12:08 06:39:56-08:00,WAV,WAV,audio/x-wav,0.6528032422
28335,AM-22,247AA5015BA446DA,GRABADOR-SDZG-AM-22/20190628_110000.WAV,GRABADOR-SDZG-AM-22,20190628_110000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:00:00 28/06/2019 (UTC) by AudioMoth 247AA5015BA446DA at gain setting 2 while battery state was 4.2V.,AudioMoth 247AA5015BA446DA,2019:12:10 20:23:34-08:00,WAV,WAV,audio/x-wav,0.9507641792
40608,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190629_103000.WAV,GRABADOR-SDZG-AM-25,20190629_103000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:30:00 29/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.0V.,AudioMoth 24E144035BA455E9,2019:12:08 18:37:13-08:00,WAV,WAV,audio/x-wav,0.9914889336
38885,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190617_112000.WAV,GRABADOR-SDZG-AM-25,20190617_112000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:20:00 17/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.5V.,AudioMoth 24E144035BA455E9,2019:12:08 16:09:07-08:00,WAV,WAV,audio/x-wav,0.9901175499
43628,AM-26,2466C2065BA446CE,GRABADOR-SDZG-AM-26/20190627_113000.WAV,GRABADOR-SDZG-AM-26,20190627_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 27/06/2019 (UTC) by AudioMoth 2466C2065BA446CE at gain setting 2 while battery state was 4.0V.,AudioMoth 2466C2065BA446CE,2019:12:19 17:26:01-08:00,WAV,WAV,audio/x-wav,0.9355787039
38442,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190710_102000.WAV,GRABADOR-SDZG-AM-24,20190710_102000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:20:00 10/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F075C79FAFC,2019:12:09 07:41:07-08:00,WAV,WAV,audio/x-wav,0.9888737202
43774,AM-26,2466C2065BA446CE,GRABADOR-SDZG-AM-26/20190628_115000.WAV,GRABADOR-SDZG-AM-26,20190628_115000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:50:00 28/06/2019 (UTC) by AudioMoth 2466C2065BA446CE at gain setting 2 while battery state was 4.0V.,AudioMoth 2466C2065BA446CE,2019:12:19 17:30:37-08:00,WAV,WAV,audio/x-wav,0.9917759895
67936,AM-6,2466C2065B2BF148,GRABADOR-SDZG-AM-6/20190622_125000.WAV,GRABADOR-SDZG-AM-6,20190622_125000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:50:00 22/06/2019 (UTC) by AudioMoth 2466C2065B2BF148 at gain setting 2 while battery state was 4.1V.,AudioMoth 2466C2065B2BF148,2019:12:10 11:12:34-08:00,WAV,WAV,audio/x-wav,0.7426075935
39182,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190619_125000.WAV,GRABADOR-SDZG-AM-25,20190619_125000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:50:00 19/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.4V.,AudioMoth 24E144035BA455E9,2019:12:08 16:34:41-08:00,WAV,WAV,audio/x-wav,0.8591201305
40043,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190625_122000.WAV,GRABADOR-SDZG-AM-25,20190625_122000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:20:00 25/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.1V.,AudioMoth 24E144035BA455E9,2019:12:08 17:48:39-08:00,WAV,WAV,audio/x-wav,0.95410043
36006,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190623_111000.WAV,GRABADOR-SDZG-AM-24,20190623_111000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:10:00 23/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F075C79FAFC,2019:12:09 04:11:00-08:00,WAV,WAV,audio/x-wav,0.9919089675
68788,AM-6,2466C2065B2BF148,GRABADOR-SDZG-AM-6/20190628_105000.WAV,GRABADOR-SDZG-AM-6,20190628_105000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:50:00 28/06/2019 (UTC) by AudioMoth 2466C2065B2BF148 at gain setting 2 while battery state was 4.0V.,AudioMoth 2466C2065B2BF148,2019:12:10 12:26:11-08:00,WAV,WAV,audio/x-wav,0.9578197002
47327,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190629_111000.WAV,GRABADOR-SDZG-AM-27,20190629_111000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:10:00 29/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F075C79F65E,2019:12:18 13:12:09-08:00,WAV,WAV,audio/x-wav,0.9363418818
47044,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190627_120000.WAV,GRABADOR-SDZG-AM-27,20190627_120000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:00:00 27/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F075C79F65E,2019:12:18 13:03:19-08:00,WAV,WAV,audio/x-wav,0.9831846952
51843,AM-29,247AA5015BA446E5,GRABADOR-SDZG-AM-29/20190706_104000.WAV,GRABADOR-SDZG-AM-29,20190706_104000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:40:00 06/07/2019 (UTC) by AudioMoth 247AA5015BA446E5 at gain setting 2 while battery state was 3.9V.,AudioMoth 247AA5015BA446E5,2019:12:08 14:33:20-08:00,WAV,WAV,audio/x-wav,0.9750932455
38889,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190617_120000.WAV,GRABADOR-SDZG-AM-25,20190617_120000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:00:00 17/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.5V.,AudioMoth 24E144035BA455E9,2019:12:08 16:09:28-08:00,WAV,WAV,audio/x-wav,0.9798599482
58387,AM-30,248C7D075B2BF656,GRABADOR-SDZG-AM-30/20190704_125000.WAV,GRABADOR-SDZG-AM-30,20190704_125000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:50:00 04/07/2019 (UTC) by AudioMoth 248C7D075B2BF656 at gain setting 2 while battery state was 3.9V.,AudioMoth 248C7D075B2BF656,2019:12:18 15:43:24-08:00,WAV,WAV,audio/x-wav,0.9885867834
45740,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190618_104000.WAV,GRABADOR-SDZG-AM-27,20190618_104000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:40:00 18/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F075C79F65E,2019:12:18 12:22:34-08:00,WAV,WAV,audio/x-wav,0.9736228585
43779,AM-26,2466C2065BA446CE,GRABADOR-SDZG-AM-26/20190628_124000.WAV,GRABADOR-SDZG-AM-26,20190628_124000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:40:00 28/06/2019 (UTC) by AudioMoth 2466C2065BA446CE at gain setting 2 while battery state was 4.0V.,AudioMoth 2466C2065BA446CE,2019:12:19 17:30:47-08:00,WAV,WAV,audio/x-wav,0.6883500814
40761,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190630_120000.WAV,GRABADOR-SDZG-AM-25,20190630_120000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:00:00 30/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 3.9V.,AudioMoth 24E144035BA455E9,2019:12:08 18:50:27-08:00,WAV,WAV,audio/x-wav,0.6496247053
36005,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190623_110000.WAV,GRABADOR-SDZG-AM-24,20190623_110000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:00:00 23/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F075C79FAFC,2019:12:09 04:10:55-08:00,WAV,WAV,audio/x-wav,0.9930431843
49679,AM-29,247AA5015BA446E5,GRABADOR-SDZG-AM-29/20190621_100000.WAV,GRABADOR-SDZG-AM-29,20190621_100000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:00:00 21/06/2019 (UTC) by AudioMoth 247AA5015BA446E5 at gain setting 2 while battery state was 4.4V.,AudioMoth 247AA5015BA446E5,2019:12:08 11:26:32-08:00,WAV,WAV,audio/x-wav,0.9100645781
40755,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190630_110000.WAV,GRABADOR-SDZG-AM-25,20190630_110000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:00:00 30/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 3.9V.,AudioMoth 24E144035BA455E9,2019:12:08 18:49:56-08:00,WAV,WAV,audio/x-wav,0.9927613735
38166,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190708_111000.WAV,GRABADOR-SDZG-AM-24,20190708_111000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:10:00 08/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F075C79FAFC,2019:12:09 07:17:18-08:00,WAV,WAV,audio/x-wav,0.9933334589
28906,AM-22,247AA5015BA446DA,GRABADOR-SDZG-AM-22/20190702_101000.WAV,GRABADOR-SDZG-AM-22,20190702_101000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:10:00 02/07/2019 (UTC) by AudioMoth 247AA5015BA446DA at gain setting 2 while battery state was 4.1V.,AudioMoth 247AA5015BA446DA,2019:12:10 21:12:56-08:00,WAV,WAV,audio/x-wav,0.6403609514
37735,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190705_112000.WAV,GRABADOR-SDZG-AM-24,20190705_112000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:20:00 05/07/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 3.8V.,AudioMoth 243B1F075C79FAFC,2019:12:09 06:40:06-08:00,WAV,WAV,audio/x-wav,0.9929714203
42770,AM-26,2466C2065BA446CE,GRABADOR-SDZG-AM-26/20190621_123000.WAV,GRABADOR-SDZG-AM-26,20190621_123000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:30:00 21/06/2019 (UTC) by AudioMoth 2466C2065BA446CE at gain setting 2 while battery state was 4.2V.,AudioMoth 2466C2065BA446CE,2019:12:19 16:59:01-08:00,WAV,WAV,audio/x-wav,0.8272848129
1563,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190627_112000.WAV,GRABADOR-SDZG-AM-1,20190627_112000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:20:00 27/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:02:11-08:00,WAV,WAV,audio/x-wav,0.9155281782
40323,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190627_110000.WAV,GRABADOR-SDZG-AM-25,20190627_110000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:00:00 27/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.1V.,AudioMoth 24E144035BA455E9,2019:12:08 18:12:48-08:00,WAV,WAV,audio/x-wav,0.9874180555
1998,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190630_115000.WAV,GRABADOR-SDZG-AM-1,20190630_115000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:50:00 30/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.9V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:15:50-08:00,WAV,WAV,audio/x-wav,0.9931541681
35722,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190621_115000.WAV,GRABADOR-SDZG-AM-24,20190621_115000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:50:00 21/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F075C79FAFC,2019:12:09 03:46:32-08:00,WAV,WAV,audio/x-wav,0.9116220474
46175,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190621_111000.WAV,GRABADOR-SDZG-AM-27,20190621_111000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:10:00 21/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F075C79F65E,2019:12:18 12:36:10-08:00,WAV,WAV,audio/x-wav,0.9860354662
40473,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190628_120000.WAV,GRABADOR-SDZG-AM-25,20190628_120000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:00:00 28/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.0V.,AudioMoth 24E144035BA455E9,2019:12:08 18:25:39-08:00,WAV,WAV,audio/x-wav,0.9741691351
58818,AM-30,248C7D075B2BF656,GRABADOR-SDZG-AM-30/20190707_124000.WAV,GRABADOR-SDZG-AM-30,20190707_124000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:40:00 07/07/2019 (UTC) by AudioMoth 248C7D075B2BF656 at gain setting 2 while battery state was 3.6V.,AudioMoth 248C7D075B2BF656,2019:12:18 15:56:57-08:00,WAV,WAV,audio/x-wav,0.9875596166
47049,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190627_125000.WAV,GRABADOR-SDZG-AM-27,20190627_125000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:50:00 27/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F075C79F65E,2019:12:18 13:03:28-08:00,WAV,WAV,audio/x-wav,0.8416996598
36733,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190628_122000.WAV,GRABADOR-SDZG-AM-24,20190628_122000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:20:00 28/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F075C79FAFC,2019:12:09 05:13:40-08:00,WAV,WAV,audio/x-wav,0.9939712286
41339,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190704_122000.WAV,GRABADOR-SDZG-AM-25,20190704_122000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:20:00 04/07/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 3.6V.,AudioMoth 24E144035BA455E9,2019:12:08 19:40:22-08:00,WAV,WAV,audio/x-wav,0.9869511127
67647,AM-6,2466C2065B2BF148,GRABADOR-SDZG-AM-6/20190620_124000.WAV,GRABADOR-SDZG-AM-6,20190620_124000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:40:00 20/06/2019 (UTC) by AudioMoth 2466C2065B2BF148 at gain setting 2 while battery state was 4.2V.,AudioMoth 2466C2065B2BF148,2019:12:10 10:47:37-08:00,WAV,WAV,audio/x-wav,0.8678168058
36584,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190627_113000.WAV,GRABADOR-SDZG-AM-24,20190627_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 27/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F075C79FAFC,2019:12:09 05:00:49-08:00,WAV,WAV,audio/x-wav,0.9881765842
262,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190618_103000.WAV,GRABADOR-SDZG-AM-1,20190618_103000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:30:00 18/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:21:17-08:00,WAV,WAV,audio/x-wav,0.5135833025
40036,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190625_111000.WAV,GRABADOR-SDZG-AM-25,20190625_111000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:10:00 25/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.1V.,AudioMoth 24E144035BA455E9,2019:12:08 17:48:03-08:00,WAV,WAV,audio/x-wav,0.9389443398
44634,AM-26,2466C2065BA446CE,GRABADOR-SDZG-AM-26/20190704_111000.WAV,GRABADOR-SDZG-AM-26,20190704_111000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:10:00 04/07/2019 (UTC) by AudioMoth 2466C2065BA446CE at gain setting 2 while battery state was 3.7V.,AudioMoth 2466C2065BA446CE,2019:12:19 17:57:50-08:00,WAV,WAV,audio/x-wav,0.9930689931
46181,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190621_121000.WAV,GRABADOR-SDZG-AM-27,20190621_121000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:10:00 21/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F075C79F65E,2019:12:18 12:36:21-08:00,WAV,WAV,audio/x-wav,0.9809415936
57509,AM-30,248C7D075B2BF656,GRABADOR-SDZG-AM-30/20190628_103000.WAV,GRABADOR-SDZG-AM-30,20190628_103000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:30:00 28/06/2019 (UTC) by AudioMoth 248C7D075B2BF656 at gain setting 2 while battery state was 4.1V.,AudioMoth 248C7D075B2BF656,2019:12:18 15:15:52-08:00,WAV,WAV,audio/x-wav,0.9921907187
50260,AM-29,247AA5015BA446E5,GRABADOR-SDZG-AM-29/20190625_105000.WAV,GRABADOR-SDZG-AM-29,20190625_105000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:50:00 25/06/2019 (UTC) by AudioMoth 247AA5015BA446E5 at gain setting 2 while battery state was 4.3V.,AudioMoth 247AA5015BA446E5,2019:12:08 12:16:40-08:00,WAV,WAV,audio/x-wav,0.9772116542
48624,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190708_112000.WAV,GRABADOR-SDZG-AM-27,20190708_112000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:20:00 08/07/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 3.7V.,AudioMoth 243B1F075C79F65E,2019:12:18 13:52:52-08:00,WAV,WAV,audio/x-wav,0.9782566428
